term_id	locale	title	slug	genre_term_id	genre_name	genre_slug
170158	en	Co Live!	co-live__jazz-en	16768	Jazz	jazz-en
188129	en	Coffee &amp; Jazz	coffee_jazz__jazz-en	16768	Jazz	jazz-en
21370	en	Combo Swing	combo-swing-classical-music	3268	Classical Music	classical-music
20494	en	Combo Swing	combo-swing__jazz-en	16768	Jazz	jazz-en
65577	en	Composer of the Month	componist-van-de-maand__klassiek-en	3268	Classical Music	classical-music
208586	en	Composers and Musicians	muziekmakers__hedendaags-en	3326	Contemporary Music	contemporary-music
208582	en	Composers and Musicians of the Netherlands	muziekmakers-der-nederlanden__hedendaags-en	3326	Contemporary Music	contemporary-music
186832	en	Concertzender 40 years	concertzender-40-years	3268	Classical Music	classical-music
133692	en	Concertzender Archive	concertzender-archief__klassiek-en	3268	Classical Music	classical-music
133694	en	Concertzender Archive	concertzender-archief__hedendaags-en	3326	Contemporary Music	contemporary-music
133696	en	Concertzender Archive	concertzender-archief__jazz-en	16768	Jazz	jazz-en
133700	en	Concertzender Archive	concertzender-archief__modern-en	3322	Modern Music	modern-music
133698	en	Concertzender Archive	concertzender-archief__wereld-en	16974	World Music	world-music
77365	en	Concertzender Live	concertzender-live__klassiek-en	3268	Classical Music	classical-music
77368	en	Concertzender Live	concertzender-live__hedendaags-en	3326	Contemporary Music	contemporary-music
29940	en	Concertzender Live	concertzender-live__crosslinks-en	5193	Crosslinks	crosslinks-en
23883	en	Concertzender Live	concertzender-live__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
23885	en	Concertzender Live	concertzender-live__oud-en	3050	Early Music	early-music
17018	en	Concertzender Live	concertzender-live__jazz-en	16768	Jazz	jazz-en
24031	en	Concertzender Live	concertzender-live__modern-en	3322	Modern Music	modern-music
21834	en	Concertzender Live	concertzender-live__wereld-en	16974	World Music	world-music
128444	en	Concertzender Naples	concertzender-napels__oud-en	3050	Early Music	early-music
45044	en	Concertzender Now	concertzender-actueel__klassiek-en	3268	Classical Music	classical-music
45046	en	Concertzender Now	concertzender-actueel__hedendaags-en	3326	Contemporary Music	contemporary-music
209162	en	Congo Square Radio	congo-square-radio__jazz-en	16768	Jazz	jazz-en
193840	en	Contemporary Music	bijdetijds__hedendaags-en	3326	Contemporary Music	contemporary-music
21408	en	Conversation Under Eight Eyes.	gesprek-onder-acht-ogen__klassiek-en	3268	Classical Music	classical-music
188133	en	Cross Currents	cross_currents__jazz-en	16768	Jazz	jazz-en
77510	en	Curtain Up	open-doek__klassiek-en	3268	Classical Music	classical-music
57462	en	Curtain Up	open-doek__opera-en	17472	Opera	opera-en
125416	en	CZ-Archive	cz-archief__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
50600	en	Damas del Tango	damas-del-tango__wereld-en	16974	World Music	world-music
161435	en	Dancing and the Blues	dansen-en-de-blues__jazz-en	16768	Jazz	jazz-en
23782	en	Dancing Around The Throne	dancing-around-the-throne	3268	Classical Music	classical-music
181913	en	Deep Jazz	deep-jazz__jazz-en	16768	Jazz	jazz-en
156640	en	Disc-Cover!	disc-cover__wereld-en	16974	World Music	world-music
63664	en	Disco Volante	disco-volante__wereld-en	16974	World Music	world-music
25100	en	Diva’s Delight	de-diva-op-de-erwt__opera-en	17472	Opera	opera-en
34637	en	Diva’s Delight	de-diva-op-de-erwt__klassiek-en	17472	Opera	opera-en
27751	en	Documento	documento__oud-en	3050	Early Music	early-music
36941	en	Donemus	donemus__hedendaags-en	3326	Contemporary Music	contemporary-music
36939	en	Donemus	donemus-modern-music	3322	Modern Music	modern-music
35177	en	Dr. Klangendum	dr-klangendum__crosslinks-en	5193	Crosslinks	crosslinks-en
70955	en	DreamScenes	dreamscenes__hedendaags-en	3326	Contemporary Music	contemporary-music
70953	en	DreamScenes	dreamscenes__crosslinks-en	5193	Crosslinks	crosslinks-en
31186	en	Duke Ellington	duke-ellington__jazz-en	16768	Jazz	jazz-en
71288	en	Dusted Off	afgestoft__klassiek-en	3268	Classical Music	classical-music
197197	en	Dutch Jazz	dutch-jazz__jazz-en	16768	Jazz	jazz-en
170176	en	Dwarsliggers &amp; Buitenbeentjes	dwarsliggers-buitenbeentjes__jazz-en	16768	Jazz	jazz-en
23720	en	Early Delights	early-delights__oud-en	3050	Early Music	early-music
23522	en	Early Music News	oude-muziek-actua__oud-en	3050	Early Music	early-music
24020	en	Earwitness	earwitness-contemporary-music	3326	Contemporary Music	contemporary-music
24018	en	Earwitness	earwitness	3322	Modern Music	modern-music
124213	en	El Mundo	el-mundo__wereld-en	16974	World Music	world-music
65543	en	Electronic Frequencies	electronic-frequencies__crosslinks-en	5193	Crosslinks	crosslinks-en
21352	en	Elgar&#8217;s Goodbye	elgars-goodbye	3268	Classical Music	classical-music
18863	en	En face	en-face__klassiek-en	3268	Classical Music	classical-music
21394	en	En Profil	en-profil__klassiek-en	3268	Classical Music	classical-music
21344	en	Entrata	entrata-classical-music	3268	Classical Music	classical-music
19189	en	Entrata	entrata__oud-en	3050	Early Music	early-music
27653	en	Exitos Musicales	exitos-musicales__wereld-en	16974	World Music	world-music
28381	en	Female Composers	vrouwelijke-componisten__klassiek-en	3268	Classical Music	classical-music
195167	en	Flemish Masters	vlaamse-meesters-op-de-bok__klassiek-en	3268	Classical Music	classical-music
27530	en	Folk It!	folk-it__crosslinks-en	5193	Crosslinks	crosslinks-en
23095	en	Folk It!	folk-it__wereld-en	16974	World Music	world-music
34022	en	Fortepiano	fortepiano__klassiek-en	3268	Classical Music	classical-music
204657	en	Framework 1	framework-1-contemporary-music	3326	Contemporary Music	contemporary-music
35637	en	Framework 1	framework__crosslinks-en	5193	Crosslinks	crosslinks-en
204662	en	Framework 2	framework-2-contemporary-music	3326	Contemporary Music	contemporary-music
204535	en	Framework 2	framework2__crosslinks-en	5193	Crosslinks	crosslinks-en
44827	en	Franz Liszt, episodes from the life of an artist	franz-liszt-episodes-uit-het-leven-van-een-artiest__klassiek-en	3268	Classical Music	classical-music
41697	en	Franz Liszt, episodes from the life of an artist	franz-liszt-episodes-uit-het-leven-van-een-artiest__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
65421	en	Free Radicals	vrije-radicalen__crosslinks-en	5193	Crosslinks	crosslinks-en
32850	en	Free Radicals	vrije-radicalen__modern-en	3322	Modern Music	modern-music
27583	en	Free Radicals	vrije-radicalen__wereld-en	16974	World Music	world-music
59745	en	Free Radicals / Folk It!	vrije-radicalen--folk-it__crosslinks-en	5193	Crosslinks	crosslinks-en
34172	en	Front Runnin’	front-runnin__jazz-en	16768	Jazz	jazz-en
188137	en	Fusion	fusion__jazz-en	16768	Jazz	jazz-en
188141	en	Fusion World	fusion_world__wereld-en	16974	World Music	world-music
82270	en	Genius Music Friends	geniale-muziekvrienden_klassiek-en	3268	Classical Music	classical-music
20803	en	Gharana	gharana__wereld-en	16974	World Music	world-music
23895	en	Gramophone	gramophoon__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
21316	en	Grand Café Europe	grand-cafe-europa__klassiek-en	3268	Classical Music	classical-music
76467	en	Groove &amp; Grease	groove-en-grease__jazz-en	16768	Jazz	jazz-en
