program_source_key	title_nl	title_en	aliases_en	term_count	genre_count	genres
44466	Tango: lied van Buenos Aires	Tango: Song of Buenos Aires		2	1	wereld
44821	Concertzender Actueel	Concertzender Now		4	2	hedendaags | klassiek
45014	American Highways	American Highways		4	2	hedendaags | modern
45186	Herkansing voor Hummel	Hummel revisited		2	1	klassiek
45525	CD van de Week	CD of the Week		2	1	klassiek
45750	Nieuwe Muziek	New Music		2	1	hedendaags
47206	Space Exposure	Space Exposure		2	1	crosslinks
47455	Nikolaj Mjaskovski	Nikolai Myaskovsky		2	1	klassiek
49486	Klankcafé	The Sound Café		4	2	klassiek | raakvlakken
50598	Damas del Tango	Damas del Tango		2	1	wereld
50700	Ujazz	Ujazz		2	1	jazz
53856	Radio Resistencia	Radio Resistencia		4	2	crosslinks | hedendaags
54158	Open Doek	Curtain Up		3	2	klassiek | opera
55346	Sensenta	Sensenta		4	2	crosslinks | hedendaags
55668	Sound the Trumpet, Strike the Viol!	Sound the Trumpet, Strike the Viol!		2	1	oud
58073	Opera Avond			1	1	opera
58075	WereldMuze			1	1	wereld
59715	Koninklijk Filharmonisch Orkest van Luik	Royal Philharmonic Orchestra of Liege		2	1	klassiek
59743	Vrije Radicalen / Folk It!	Free Radicals / Folk It!		2	1	crosslinks
61326	Brazil In A Nutshell	Brazil in a Nutshell		2	1	wereld
62222	Die sanck een Liedt	Thou singest ye carol		2	1	klassiek
62276	Radio Romantica	Radio Romantica		2	1	klassiek
62403	Opera in de 20ste eeuw	Opera in the 20th century		8	4	hedendaags | klassiek | modern | opera
63664	Disco Volante	Disco Volante		2	1	wereld
63843	Radio Muziek-essay	Radio Music Essay		2	1	raakvlakken
64051	Terra Incognita	Terra Incognita		2	1	crosslinks
64844	Orgelwerk	Organ Work		2	1	oud
67874	Masumi Nagasawa en haar bijzondere harpen	Masumi Nagasawa and her special harps		2	1	klassiek
69530	Three of a Kind	Three of a Kind		2	1	jazz
70949	DreamScenes	DreamScenes		4	2	crosslinks | hedendaags
72884	Carib Calling	Carib Calling		2	1	wereld
76465	Groove & Grease	Groove & Grease		2	1	jazz
76719	Rush Hour	Rush Hour		4	2	hedendaags | modern
77591	American Highways | Rush Hour	American Highways | Rush Hour		4	2	hedendaags | modern
82268	Geniale Muziekvrienden			1	1	klassiek
82270		Genius Music Friends		1	1	klassiek
83175	Anadolu Havasi	Anadolu Havasi		2	1	wereld
89714	Portamento	Portamento		2	1	crosslinks
102307	Het Strijkkwartet	The String Quartet		2	1	klassiek
106109	Tango Fusión	Tango Fusión		2	1	wereld
108372	Wereldmuziek Club	World Music Club		2	1	wereld
116291	Een Os op het Dak	An Ox on the Roof		4	2	hedendaags | raakvlakken
124211	El Mundo	El Mundo		2	1	wereld
125414	CZ-Archief	CZ-Archive		2	1	raakvlakken
126019	De Modernen			1	1	hedendaags
126021		The Modernists		1	1	hedendaags
126262		The Night: Contemporary		1	1	hedendaags
126742	Willem Brons presenteert	Willem Brons presents		2	1	klassiek
127169	Zwerven door de Klassieke Periode	Roaming The Classical Period		5	2	klassiek | oud
128442	Concertzender Napels	Concertzender Naples		2	1	oud
132267	Leve Beethoven!			1	1	klassiek
132269		Long Live Beethoven!		1	1	klassiek
132693	Winter Solstice	Winter Solstice		2	1	crosslinks
132854	JazzNotJazz Music & Politics	JazzNotJazz Music & Politics		2	1	jazz
141669	Resonator	Resonator		2	1	crosslinks
141675	Re:light	Re:light		2	1	crosslinks
142377	Omzwervingen in de Joodse muziek	Wandering around Jewish music		2	1	wereld
142673	All Along Broadway	All Along Broadway		2	1	jazz
142965	Bureau Radiophonie	Bureau Radiophonie		2	1	crosslinks
145092	Noorderlicht	Northern Lights		2	1	hedendaags
145096	De eigenzinnige Prokofjev	The wayward Prokofiev		2	1	hedendaags
145793	Lastige Leerling	Stubborn Student		2	1	klassiek
146858	Bach & Co	Bach & Co		4	2	klassiek | oud
147702	Radio Elastica	Radio Elastica		2	1	crosslinks
153321	Little Big Bands	Little Big Bands		2	1	jazz
155400	In de Schijnwerper	In the Spotlight		2	1	klassiek
155789	O Brasil da Lil	O Brasil da Lil		2	1	wereld
157803	Cinematheque	Cinematheque		2	1	crosslinks
157807	Ongehoord	Unheard		2	1	hedendaags
159279	Dansen en de Blues	Dancing and the Blues		2	1	jazz
163345	Tangos Despreciados	Tangos Despreciados		2	1	wereld
167572	Behind the Dikes	Behind the Dikes		2	1	jazz
167704	De Jazz Delta	The Jazz Delta		2	1	jazz
168856	On Cloud Nine	On Cloud Nine		2	1	oud
169053	Jazz Guitar	Jazz Guitar		2	1	jazz
170156	Co Live!	Co Live!		2	1	jazz
170174	Dwarsliggers & Buitenbeentjes	Troublemakers & Outsiders	Dwarsliggers & Buitenbeentjes	3	1	jazz
170319	Turkenburg Time Travels	Turkenburg Time Travels		2	1	jazz
173889	Ritmundo	Ritmundo		2	1	wereld
175987	Ratatouille	Ratatouille		2	1	klassiek
181911	Deep Jazz	Deep Jazz		2	1	jazz
184217	Kaap Gonzo	Cape Gonzo		2	1	crosslinks
184466	Meesterpianisten	Master Pianists		2	1	klassiek
185416	inJazz Radio	inJazz Radio		2	1	jazz
186830	Concertzender 40 jaar			1	1	klassiek
186832		Concertzender 40 years		1	1	klassiek
187142	Luister!	Listen!		2	1	klassiek
187322	Sanssouci	Sanssouci		2	1	klassiek
187459		Wanderings in Jewish Music		1	1	wereld
188119	Around the World	Around the World		2	1	jazz
188123	Bop, Blues & Boogaloo	Bop, Blues & Boogaloo		2	1	jazz
188127	Coffee & Jazz	Coffee & Jazz		2	1	jazz
188131	Cross Currents	Cross Currents		2	1	jazz
188135	Fusion	Fusion		2	1	jazz
188139	Fusion World	Fusion World		2	1	wereld
188143	Jazz & Cocktails	Jazz & Cocktails		2	1	jazz
188147	Jazz beyond the Dikes	Jazz beyond the Dikes		2	1	jazz
188151	Neo Bop	Neo Bop		2	1	jazz
188155	Round Midnight	Round Midnight		2	1	jazz
188159	Swing it Back	Swing it Back		2	1	jazz
188163	World of Jazz, The Night Mix	World of Jazz, The Night Mix		2	1	jazz
188167	Nordic Sounds	Nordic Sounds		2	1	jazz
188171	The Balancing Act	The Balancing Act		2	1	jazz
188175	UK Jazz	UK Jazz		2	1	jazz
189274	ProgJazz	ProgJazz		2	1	jazz
189377	Zwerven door de Romantiek	Roaming the Romantic Period		2	1	klassiek
191799	World of Jazz Live	World of Jazz Live		3	1	jazz
191872	Past, Present & Future	Past, Present & Future		2	1	jazz
195165	Vlaamse Meesters op de Bok	Flemish Masters		2	1	klassiek
197195	Dutch Jazz	Dutch Jazz		2	1	jazz
197199	Jazzkotabel	Jazzkotabel		2	1	jazz
198880	Basement Sessions	Basement Sessions		2	1	jazz
204119	Tijdsignaal	Time Signal		2	1	klassiek
204533	Framework 2	Framework 2		4	2	crosslinks | hedendaags
208580	Muziekmakers der Nederlanden	Composers and Musicians of the Netherlands		2	1	hedendaags
208584	Muziekmakers	Composers and Musicians		2	1	hedendaags
209156	Jump!	Jump!		2	1	jazz
209160	Congo Square Radio	Congo Square Radio		2	1	jazz
209197	O Brazil de Lil	O Brazil de Lil		2	1	wereld
212921	Roots & Routes	Roots & Routes		2	1	wereld
216711	Irie Riddims	Irie Riddims		2	1	wereld
217028	De Hammond Podcast	The Hammond Podcast		2	1	jazz
217045	Rec/Play	Rec/Play		2	1	jazz
217754	Shades of Blue	Shades of Blue		2	1	jazz
221115	inJazz	inJazz		2	1	jazz
225532	Live Forms	Live Forms		2	1	crosslinks
227920	Schatgraven	Treasure Hunting		2	1	klassiek
230584	Miles & Coltrane at 100: Specials	Miles & Coltrane at 100: Specials		2	1	jazz
232183	Tussen Je Oren	Between Your Ears		2	1	crosslinks
232405	Liminal State	Liminal State		2	1	crosslinks
232409	Stoorzender	Jammer		2	1	crosslinks
