term_id	program_source_key	locale	title_nl	title_en	source_title	source_slug	genre_term_id	genre_key	source_genre_name	source_genre_slug
22539	22539	nl	Sax-o-Foon		Sax-o-Foon	sax-o-foon	3266	klassiek	Klassiek	klassieke-muziek
22541	22541	en		Sax-o-Phone	Sax-o-Phone	sax-o-phone	3268	klassiek	Classical Music	classical-music
22847	22847	en		Record up your Sleeve	Record up your Sleeve	record-up-your-sleeve	16974	wereld	World Music	world-music
22849	22847	en		Record up your Sleeve	Record up your Sleeve	record-up-your-sleeve-pop-en	5193	crosslinks	Crosslinks	crosslinks-en
23186	23186	nl	Dansen rondom de troon		Dansen rondom de troon	dansen-rondom-de-troon	3266	klassiek	Klassiek	klassieke-muziek
23367	23365	en	House of Hard Bop	House of Hard Bop	House of Hard Bop	house-of-hard-bop__jazz-en	16768	jazz	Jazz	jazz-en
23365	23365	nl	House of Hard Bop	House of Hard Bop	House of Hard Bop	house-of-hard-bop__jazz-nl	16766	jazz	Jazz	jazz
23673	23673	nl	Van lucht tot toon		Van lucht tot toon	van-lucht-tot-toon	3266	klassiek	Klassiek	klassieke-muziek
23683	23683	en	De Wandeling	An Early Evening Stroll	An Early Evening Stroll	de-wandeling__klassiek-en	3268	klassiek	Classical Music	classical-music
31311	23683	nl	De Wandeling	An Early Evening Stroll	De Wandeling	de-wandeling__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
23720	23718	en	Early Delights	Early Delights	Early Delights	early-delights__oud-en	3050	oud	Early Music	early-music
23718	23718	nl	Early Delights	Early Delights	Early Delights	early-delights__oud-nl	3048	oud	Oud	oude-muziek
23728	23728	en		The Night: Opera	The Night: Opera	de-nacht-opera__nachten-en	17032	nachten	The Nights	nights
23782	23782	en		Dancing Around The Throne	Dancing Around The Throne	dancing-around-the-throne	3268	klassiek	Classical Music	classical-music
23892	23892	en	Door de Mazen van het Net	Slipped Through the Net	Slipped Through the Net	door-de-mazen-van-het-net__raakvlakken-en	17244	raakvlakken	Cultural Interfaces	cultural-interfaces
58327	23892	en	Door de Mazen van het Net	Slipped Through the Net	Slipped Through the Net	door-de-mazen-van-het-net__wereld-en	16974	wereld	World Music	world-music
58325	23892	nl	Door de Mazen van het Net	Slipped Through the Net	Door de Mazen van het Net	door-de-mazen-van-het-net__wereld-nl	16972	wereld	Wereld	wereldmuziek
66598	23892	nl	Door de Mazen van het Net	Slipped Through the Net	Door de Mazen van het Net	door-de-mazen-van-het-net__raakvlakken-nl	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
23911	23905	en	Solta a Franga	Solta a Franga	Solta a Franga	solta-a-franga__wereld-en	16974	wereld	World Music	world-music
23905	23905	nl	Solta a Franga	Solta a Franga	Solta a Franga	solta-a-franga__wereld-nl	16972	wereld	Wereld	wereldmuziek
24009	24005	en	De Vorige Eeuw	The Last Century	The Last Century	de-vorige-eeuw__modern-en	3322	modern	Modern Music	modern-music
78198	24005	en	De Vorige Eeuw	The Last Century	The Last Century	de-vorige-eeuw__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
24005	24005	nl	De Vorige Eeuw	The Last Century	De Vorige Eeuw	de-vorige-eeuw__modern-nl	3320	modern	Modern	moderne-muziek-nl
77675	24005	nl	De Vorige Eeuw	The Last Century	De Vorige Eeuw	de-vorige-eeuw__hedendaags-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
24018	24018	en		Earwitness	Earwitness	earwitness	3322	modern	Modern Music	modern-music
24020	24018	en		Earwitness	Earwitness	earwitness-contemporary-music	3326	hedendaags	Contemporary Music	contemporary-music
24042	24042	en		Old news?	Old news?	old-news	3322	modern	Modern Music	modern-music
24044	24042	en		Old news?	Old news?	old-news-contemporary-music	3326	hedendaags	Contemporary Music	contemporary-music
24070	24070	en		The Night	The Night	de-nacht__nachten-en	17032	nachten	The Nights	nights
24082	24078	en	Pluto	Pluto	Pluto	pluto__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
24084	24078	en	Pluto	Pluto	Pluto	pluto__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
24078	24078	nl	Pluto	Pluto	Pluto	pluto__hedendaags-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
24080	24078	nl	Pluto	Pluto	Pluto	pluto__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
24218	24218	nl	Let’s Movie!		Let’s Movie!	lets-movie-pop	5191	crosslinks	Crosslinks	crosslinks
24348	24348	en	De Nacht: Wereld	The Night: World Music	The Night: World Music	de-nacht-wereld__nachten-en	17032	nachten	The Nights	nights
58268	24348	en	De Nacht: Wereld	The Night: World Music	The Night: World Music	de-nacht-wereld__wereld-en	16974	wereld	World Music	world-music
58266	24348	nl	De Nacht: Wereld	The Night: World Music	De Nacht: Wereld	de-nacht-wereld__wereld-nl	16972	wereld	Wereld	wereldmuziek
77563	24348	nl	De Nacht: Wereld	The Night: World Music	De Nacht: Wereld	de-nacht-wereld__nachten-nl	17030	nachten	Nachten	nachten
24359	24359	en		Beat The Music	Beat The Music	beat-the-music	3326	hedendaags	Contemporary Music	contemporary-music
24406	24400	en	Young Professionals Live	Young Professionals Live	Young Professionals Live	young-professionals-live__klassiek-en	3268	klassiek	Classical Music	classical-music
24400	24400	nl	Young Professionals Live	Young Professionals Live	Young Professionals Live	young-professionals-live__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
25011	25011	nl	België!		België!	belgie	3266	klassiek	Klassiek	klassieke-muziek
25013	25013	en		Belgium!	Belgium!	belgium	3268	klassiek	Classical Music	classical-music
29105	25448	en	Zwerven door de Renaissance	Roaming the Renaissance	Roaming the Renaissance	zwerven-door-de-renaissance__oud-en	3050	oud	Early Music	early-music
25448	25448	nl	Zwerven door de Renaissance	Roaming the Renaissance	Zwerven door de Renaissance	zwerven-door-de-renaissance__oud-nl	3048	oud	Oud	oude-muziek
25681	25681	nl	Muziek uit het nieuwe Europa		Muziek uit het nieuwe Europa	muziek-uit-het-nieuwe-europa	3266	klassiek	Klassiek	klassieke-muziek
25784	25782	en	Serie Jordi Savall	Series Jordi Savall	Series Jordi Savall	serie-jordi-savall__oud-en	3050	oud	Early Music	early-music
25782	25782	nl	Serie Jordi Savall	Series Jordi Savall	Serie Jordi Savall	serie-jordi-savall__oud-nl	3048	oud	Oud	oude-muziek
27502	26670	en	ThE BlessinG ForcE	ThE BlessinG ForcE	ThE BlessinG ForcE	the-blessing-force-pop-en	5193	crosslinks	Crosslinks	crosslinks-en
27504	26670	en	ThE BlessinG ForcE	ThE BlessinG ForcE	ThE BlessinG ForcE	the-blessing-force-modern-music	3322	modern	Modern Music	modern-music
26670	26670	nl	ThE BlessinG ForcE	ThE BlessinG ForcE	ThE BlessinG ForcE	the-blessing-force	3324	hedendaags	Hedendaags	hedendaagse-muziek
27498	26670	nl	ThE BlessinG ForcE	ThE BlessinG ForcE	ThE BlessinG ForcE	the-blessing-force-pop	5191	crosslinks	Crosslinks	crosslinks
26696	26696	nl	Stars and Stripes		Stars and Stripes	stars-and-stripes	3266	klassiek	Klassiek	klassieke-muziek
27583	27520	en	Vrije Radicalen	Free Radicals	Free Radicals	vrije-radicalen__wereld-en	16974	wereld	World Music	world-music
32850	27520	en	Vrije Radicalen	Free Radicals	Free Radicals	vrije-radicalen__modern-en	3322	modern	Modern Music	modern-music
65421	27520	en	Vrije Radicalen	Free Radicals	Free Radicals	vrije-radicalen__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
27520	27520	nl	Vrije Radicalen	Free Radicals	Vrije Radicalen	vrije-radicalen__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
27522	27520	nl	Vrije Radicalen	Free Radicals	Vrije Radicalen	vrije-radicalen__wereld-nl	16972	wereld	Wereld	wereldmuziek
32844	27520	nl	Vrije Radicalen	Free Radicals	Vrije Radicalen	vrije-radicalen__modern-nl	3320	modern	Modern	moderne-muziek-nl
156640	27592	en	Disc-Cover!	Disc-Cover!	Disc-Cover!	disc-cover__wereld-en	16974	wereld	World Music	world-music
27592	27592	nl	Disc-Cover!	Disc-Cover!	Disc-Cover!	disc-cover__wereld-nl	16972	wereld	Wereld	wereldmuziek
27653	27645	en	Exitos Musicales	Exitos Musicales	Exitos Musicales	exitos-musicales__wereld-en	16974	wereld	World Music	world-music
27645	27645	nl	Exitos Musicales	Exitos Musicales	Exitos Musicales	exitos-musicales__wereld-nl	16972	wereld	Wereld	wereldmuziek
27680	27674	en	New Folk Sounds on Air	New Folk Sounds on Air	New Folk Sounds on Air	new-folk-sounds-on-air__wereld-en	16974	wereld	World Music	world-music
27674	27674	nl	New Folk Sounds on Air	New Folk Sounds on Air	New Folk Sounds on Air	new-folk-sounds-on-air__wereld-nl	16972	wereld	Wereld	wereldmuziek
27751	27745	en	Documento	Documento	Documento	documento__oud-en	3050	oud	Early Music	early-music
27745	27745	nl	Documento	Documento	Documento	documento__oud-nl	3048	oud	Oud	oude-muziek
27866	27866	nl	Kroniek van de Amsterdamse Muziek		Kroniek van de Amsterdamse Muziek	kroniek-van-de-amsterdamse-muziek	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
27868	27866	nl	Kroniek van de Amsterdamse Muziek		Kroniek van de Amsterdamse Muziek	kroniek-van-de-amsterdamse-muziek-klassieke-muziek	3266	klassiek	Klassiek	klassieke-muziek
27891	27889	en	Nuove Musiche	Nuove Musiche	Nuove Musiche	nuove-musiche__oud-en	3050	oud	Early Music	early-music
27889	27889	nl	Nuove Musiche	Nuove Musiche	Nuove Musiche	nuove-musiche__oud-nl	3048	oud	Oud	oude-muziek
27977	27977	nl	In Memoriam		In Memoriam	in-memoriam-hedendaagse-muziek	3324	hedendaags	Hedendaags	hedendaagse-muziek
29167	27977	nl	In Memoriam		In Memoriam	in-memoriam-klassieke-muziek	3266	klassiek	Klassiek	klassieke-muziek
33470	27977	nl	In Memoriam		In Memoriam	in-memoriam-culturele-raakvlakken	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
34494	28224	en	Sonoor	Harmonious	Harmonious	sonoor__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
28224	28224	nl	Sonoor	Harmonious	Sonoor	sonoor__hedendaags-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
28381	28379	en	Vrouwelijke componisten	Female Composers	Female Composers	vrouwelijke-componisten__klassiek-en	3268	klassiek	Classical Music	classical-music
28379	28379	nl	Vrouwelijke componisten	Female Composers	Vrouwelijke componisten	vrouwelijke-componisten__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
29191	28942	en	JazzNotJazz	JazzNotJazz	JazzNotJazz	jazznotjazz__jazz-en	16768	jazz	Jazz	jazz-en
28942	28942	nl	JazzNotJazz	JazzNotJazz	JazzNotJazz	jazznotjazz__jazz-nl	16766	jazz	Jazz	jazz
28972	28966	en	Klassieke Zaken	Classical Matters	Classical Matters	klassieke-zaken__klassiek-en	3268	klassiek	Classical Music	classical-music
28966	28966	nl	Klassieke Zaken	Classical Matters	Klassieke Zaken	klassieke-zaken__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
28990	28984	en	Bonum est	Bonum Est	Bonum Est	bonum-est__oud-en	3050	oud	Early Music	early-music
28984	28984	nl	Bonum est	Bonum Est	Bonum est	bonum-est__oud-nl	3048	oud	Oud	oude-muziek
29160	29158	en	Moments of Modern Jazz	Moments of Modern Jazz	Moments of Modern Jazz	moments-of-modern-jazz__jazz-en	16768	jazz	Jazz	jazz-en
29158	29158	nl	Moments of Modern Jazz	Moments of Modern Jazz	Moments of Modern Jazz	moments-of-modern-jazz__jazz-nl	16766	jazz	Jazz	jazz
29295	29293	en	De piano-etude, van oefening tot kunst	The Piano Etude: From Practice to Art	The Piano Etude: From Practice to Art	de-pianoetude-van-oefening-tot-kunst__klassiek-en	3268	klassiek	Classical Music	classical-music
29293	29293	nl	De piano-etude, van oefening tot kunst	The Piano Etude: From Practice to Art	De piano-etude, van oefening tot kunst	de-pianoetude-van-oefening-tot-kunst__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
29307	29307	nl	NL Symfonisch		NL Symfonisch	nl-symfonisch	3266	klassiek	Klassiek	klassieke-muziek
29396	29396	nl	Wind Vibes		Wind Vibes	wind-vibes	3266	klassiek	Klassiek	klassieke-muziek
29922	29922	nl	KlankKleur		KlankKleur	klankkleur	3266	klassiek	Klassiek	klassieke-muziek
30004	30004	nl	100 jaar GeNeCo		100 jaar GeNeCo	100-jaar-geneco-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
30038	30038	nl	Glans en Glorie		Glans en Glorie	glans-en-glorie	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
